Date,AMZN,BLK,BSX,COP,META,NEE,NVDA,STLD,UBER,WMT
2020-08-06,0.0062115284906952865,0.0001376651414208837,0.0042316870783951025,0.0007881461230413223,0.06285126029024811,-0.0034244285758237136,0.004309657087172881,-0.006055218695570395,0.044477904594675835,-0.003549561573388243
2020-08-07,-0.01800293843304236,0.01018489912058554,0.028104941752796812,0.006548841184623877,0.011841562495379297,0.017421440591809976,-0.01207010501303031,0.01770585734097525,-0.05355509934659934,0.0047813346968533866
2020-08-10,-0.006111826385309402,-0.013677478871433089,0.00025653166106920735,0.03438911534599903,-0.02047347103335635,-0.014490522737292805,-0.003085332821636461,0.05795771698276507,-0.019334683901327664,0.01458920744713757
2020-08-11,-0.02167112480516848,0.011038531454184071,0.008430292032808455,0.0017637549250172576,-0.02646873722886549,-0.020840471767003606,-0.028618516420605943,0.0039668478714517666,-0.033399493301031,-0.012820656563090197
2020-08-12,0.026133573522779383,0.006117673937101386,0.016399956500586982,0.04793862341696297,0.0145732230127714,0.024184129246267484,0.05297269436363969,0.0121331590385296,-0.011925973305409183,0.012896326364343114
2020-08-13,-0.0003859062604570367,-0.001152815448013594,-0.005269089768916936,-0.025034497892522812,0.005410614870176835,-0.000667704189823151,0.00024017396337002917,-0.0039189144219408814,-0.012398236232548676,0.003799416456937157
2020-08-14,-0.004121037907113718,-0.001867322409917793,-0.014954027334555559,0.004665091093506875,-0.00022960606453493874,-0.013808124444280586,0.010518729041966818,0.012680837632335145,-0.015550332281327529,0.005672102048991334
2020-08-17,0.010865072977043023,0.00604829336973071,0.004840122320525555,-0.0029436052839014663,-0.0003061451196408333,0.008837584074330914,0.06470594401103862,-0.0022640884315405113,-0.017151933335783454,0.02237241415992565
2020-08-18,0.04006138810950659,-0.0047744856716349475,-0.0005083030864105874,-0.00913255115613952,0.004507976765607772,0.00021208127975590752,-0.0061998328967964285,-0.01599530381466647,0.020148444752075494,-0.0065849989269166935
2020-08-19,-0.015825714532805114,0.000915848080943293,0.0005083030864106936,-0.017004692313664502,0.0009525894597110841,-0.0025114566030636546,-0.010020705084217964,-0.00726536139466901,-0.022185778778711716,-0.017221053863412595
2020-08-20,0.011250743012291311,-0.010894351577101015,-0.012530476430594895,-0.022444321536176506,0.02415470046887334,-0.000814880946878991,0.00020586979627830652,0.0003315702325053412,0.06545159092605585,-0.013993758275792663
2020-08-21,-0.003843813244746528,0.001165178546448581,-0.011127047137881475,-0.01585871111040853,-0.007462508021372254,0.001063077936987657,0.04371373363083603,-0.01974307782580554,-0.01863806926922214,0.008085236818838307
2020-08-24,0.006899163550113672,0.012607796939178014,0.013183552159371576,0.018434809118483195,0.016270817350507238,0.0007784779829896949,0.0028933082167491835,0.02371116857867908,0.006788485386706215,-0.002281728947832967
